Sal Kod;Sal Namn;Hus;Våning
K3;Önnesjösalen;Kåkenhus;2
K23;;Kåkenhus;2
K25;;Kåkenhus;2
K1;;Kåkenhus;2
K21;;Kåkenhus;2
K24;;Kåkenhus;2
K22;;Kåkenhus;2
K2;;Kåkenhus;2
K4;Turbinen;Kåkenhus;2
K26;;Kåkenhus;2
K6305;Alfvén;Kåkenhus;3
K6305b;Moberg;Kåkenhus;3
K6304;Moa;Kåkenhus;3
K5309;;Kåkenhus;3
K5310;;Kåkenhus;3
K5420;Digimaker (Flexsal);Kåkenhus;4
K5421;;Kåkenhus;4
K4402;;Kåkenhus;4
K4404;K42;Kåkenhus;4
K4403;K42;Kåkenhus;4
K505;;Kåkenhus;5
K4507;;Kåkenhus;5
K4521;Liu Donation;Kåkenhus;5
K501;;Kåkenhus;5
K502;;Kåkenhus;5
K4504;;Kåkenhus;5
K4502;K52;Kåkenhus;5
K2523;;Kåkenhus;5
K2510;;Kåkenhus;5
K2509;;Kåkenhus;5
K2511;;Kåkenhus;5
K2515;;Kåkenhus;5
K2516;;Kåkenhus;5
K2517;;Kåkenhus;5
K2524;;Kåkenhus;5
K2525;;Kåkenhus;5
K2526;;Kåkenhus;5
K2527;;Kåkenhus;5
K2528;;Kåkenhus;5
